id	name	desc	url	type	P12078	P852
drive-2019	#DRIVE	2021 video game	https://www.metacritic.com/game/drive-2019/	Q7889	1300501341	Q14864328
idarb	#IDARB	2015 video game	https://www.metacritic.com/game/idarb/	Q7889	1300255514	Q14864328
killallzombies	#KILLALLZOMBIES	2016 video game	https://www.metacritic.com/game/killallzombies/	Q7889	1300307943	Q14864330
splosion-man	'Splosion Man	2009 video game	https://www.metacritic.com/game/splosion-man/	Q7889	1300043280	
-detuned	.detuned	2009 video game	https://www.metacritic.com/game/-detuned/	Q7889	1300044172	Q14864328
hack-gu-last-recode	.hack//G.U. Last Recode	2017 video game	https://www.metacritic.com/game/hack-gu-last-recode/	Q7889	1300468591	Q14864330
-hack-g-u-vol-1-rebirth	.hack//G.U. vol. 1//Rebirth	2006 video game	https://www.metacritic.com/game/-hack-g-u-vol-1-rebirth/	Q7889	1300024685	Q14864330
-hack-g-u-vol-2-reminisce	.hack//G.U. vol. 2//Reminisce	2007 video game	https://www.metacritic.com/game/-hack-g-u-vol-2-reminisce/	Q7889	1300025557	Q14864330
-hack-g-u-vol-3-redemption	.hack//G.U. vol. 3//Redemption	2007 video game	https://www.metacritic.com/game/-hack-g-u-vol-3-redemption/	Q7889	1300025556	Q14864330
-hack-infection-part-1	.hack//Infection Part 1	2003 video game	https://www.metacritic.com/game/-hack-infection-part-1/	Q7889	1300004270	Q14864330
-hack-mutation-part-2	.hack//Mutation Part 2	2003 video game	https://www.metacritic.com/game/-hack-mutation-part-2/	Q7889	1300014812	Q14864330
-hack-outbreak-part-3	.hack//Outbreak Part 3	2003 video game	https://www.metacritic.com/game/-hack-outbreak-part-3/	Q7889	1300018213	Q14864330
-hack-quarantine-part-4	.hack//Quarantine Part 4	2004 video game	https://www.metacritic.com/game/-hack-quarantine-part-4/	Q7889	1300018214	Q14864330
0-day-attack-on-earth	0 Day Attack on Earth	2009 video game	https://www.metacritic.com/game/0-day-attack-on-earth/	Q7889	1300057126	
007-legends	007 Legends	2012 video game	https://www.metacritic.com/game/007-legends/	Q7889	1300140464	Q14864330
007-racing	007 Racing	2000 video game	https://www.metacritic.com/game/007-racing/	Q7889	1300002553	Q14864330
james-bond-007-nightfire	007: NightFire	2002 video game	https://www.metacritic.com/game/james-bond-007-nightfire/	Q7889	1300004596	Q14864330
quantum-of-solace	007: Quantum of Solace	2008 video game	https://www.metacritic.com/game/quantum-of-solace/	Q7889	1300035399	Q14864330
007-quantum-of-solace-nintendo-ds	007: Quantum of Solace (Nintendo DS)	2008 video game	https://www.metacritic.com/game/007-quantum-of-solace-nintendo-ds/	Q7889	1300613017	Q14864330
007-the-world-is-not-enough	007: The World is not Enough	2000 video game	https://www.metacritic.com/game/007-the-world-is-not-enough/	Q7889	1300002133	Q14864330
0rbitalis	0RBITALIS	2015 video game	https://www.metacritic.com/game/0rbitalis/	Q7889	1300267185	
1-2-switch	1-2-Switch	2017 video game	https://www.metacritic.com/game/1-2-switch/	Q7889	1300464016	
10-second-ninja	10 Second Ninja	2014 video game	https://www.metacritic.com/game/10-second-ninja/	Q7889	1300245743	
10-second-ninja-x	10 Second Ninja X	2016 video game	https://www.metacritic.com/game/10-second-ninja-x/	Q7889	1300458135	Q14864330
100-classic-books	100 Classic Books	2010 video game	https://www.metacritic.com/game/100-classic-books/	Q7889	1300041194	
1000-tiny-claws	1000 Tiny Claws	2011 video game	https://www.metacritic.com/game/1000-tiny-claws/	Q7889	1300118370	
aban-hawkins-and-the-1-001-spikes	1001 Spikes	2014 video game	https://www.metacritic.com/game/aban-hawkins-and-the-1-001-spikes/	Q7889	1300145639	Q14864330
100ft-robot-golf	100ft Robot Golf	2017 video game	https://www.metacritic.com/game/100ft-robot-golf/	Q7889	1300453496	
101-in-1-explosive-megamix	101-in-1 Explosive Megamix	2009 video game	https://www.metacritic.com/game/101-in-1-explosive-megamix/	Q7889	1300042564	Q14864328
101-in-1-sports-party-megamix	101-in-1 Sports Party Megamix	2011 video game	https://www.metacritic.com/game/101-in-1-sports-party-megamix/	Q7889	1300083410	
1080-avalanche	1080: Avalanche	2003 video game	https://www.metacritic.com/game/1080-avalanche/	Q7889	1300003941	Q14864328
1080-teneighty-snowboarding	1080: TenEighty Snowboarding	1998 video game	https://www.metacritic.com/game/1080-teneighty-snowboarding/	Q7889	1300000341	Q14864328
11-11-memories-retold	11-11: Memories Retold	2018 video game	https://www.metacritic.com/game/11-11-memories-retold/	Q7889	1300484852	Q14864330
112-operator	112 Operator	2020 video game	https://www.metacritic.com/game/112-operator/	Q7889	1300497317	
12-is-better-than-6	12 is Better Than 6	2019 video game	https://www.metacritic.com/game/12-is-better-than-6/	Q7889	1300452916	Q14864331
13-sentinels-aegis-rim	13 Sentinels: Aegis Rim	2020 video game	https://www.metacritic.com/game/13-sentinels-aegis-rim/	Q7889	1300451765	Q14864330
140	140	2020 video game	https://www.metacritic.com/game/140/	Q7889	1300176701	Q14864328
1503-a-d-the-new-world	1503 A.D. - The New World	2003 video game	https://www.metacritic.com/game/1503-a-d-the-new-world/	Q7889	1300002933	Q14864330
1701-a-d	1701 A.D.	2006 video game	https://www.metacritic.com/game/1701-a-d/	Q7889	1300026924	
18-wheeler-american-pro-trucker	18 Wheeler: American Pro Trucker	2002 video game	https://www.metacritic.com/game/18-wheeler-american-pro-trucker/	Q7889	1300003112	Q14864328
